Model,Engine Size (cm3),Horse Power (HP),Year,Location,Kilometers,Fuel Type,Price (EUR),URL
BMW Seria 3 320d,1995,163,2005,Sibiu,242993,Diesel,3350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HsG59.html
BMW Seria 3,1995,116,2011,Timis,255000,Diesel,3400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAxlu.html
BMW Seria 3 318d,1995,143,2008,Prahova,263000,Diesel,3450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAyjS.html
BMW Seria 3 318d,1995,143,2008,Brasov,284427,Diesel,3499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBEfk.html
BMW Seria 3,1995,177,2008,Bucuresti,274680,Diesel,3499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HvNwG.html
BMW Seria 3 318i Touring,1995,143,2009,Gorj,240000,Benzina,3499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7Hr6LF.html
BMW Seria 3 318d,1995,143,2008,Cluj,361599,Diesel,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HA83p.html
BMW Seria 3 320d,1995,163,2005,Timis,309000,Diesel,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBMsq.html
BMW Seria 3 318i,1995,129,2006,Gorj,287000,Benzina,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HB0rq.html
BMW Seria 3,1995,122,2007,Timis,310000,Diesel,3500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBlUT.html
BMW Seria 3 330 Cd,2993,204,2004,Timis,330000,Diesel,3800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-330-cd-ID7HBCrt.html
BMW Seria 3 318d Aut.,1995,143,2012,Dambovita,289000,Diesel,3800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-aut-ID7Hy4kj.html
BMW Seria 3 320d Blue Performance Luxury Line,1995,184,2012,Hunedoara,150000,Diesel,3850,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-blue-performance-luxury-line-ID7HBMjz.html
BMW Seria 3 320i,1995,150,2009,Arges,206000,Benzina,3850,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-ID7HBpOT.html
BMW Seria 3 318d DPF Touring,1995,143,2008,Teleorman,294000,Diesel,3950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HBus9.html
BMW Seria 3 320i,1995,150,2006,Dolj,150852,Benzina,3950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-ID7HywS7.html
BMW Seria 3 318d Touring,1995,143,2008,Bucuresti,323500,Diesel,3950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7HB7BJ.html
BMW Seria 3 318i Touring,1995,143,2008,Bucuresti,230000,Benzina,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7HBny5.html
BMW Seria 3 320d,1995,163,2007,Bacau,340000,Diesel,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBKO7.html
BMW Seria 3 320i Aut.,1995,150,2006,Vrancea,320000,Benzina,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-aut-ID7HBgBD.html
BMW Seria 3 318d DPF Touring,1995,143,2010,Ialomita,317000,Diesel,3990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HBcdg.html
BMW Seria 3 320d DPF Touring Aut.,1995,177,2009,Prahova,230000,Diesel,3999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HBLQK.html
BMW Seria 3 320d DPF Touring Aut.,1995,177,2008,Brasov,340000,Diesel,4000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HAymO.html
BMW Seria 3,1995,150,2005,Arad,327000,Benzina,4100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HoFtW.html
BMW Seria 3 318d DPF Touring,1995,143,2011,Timis,255000,Diesel,4100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HAkuZ.html
BMW Seria 3,1995,163,2006,Olt,377000,Diesel,4200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HB9n4.html
BMW Seria 3,1995,150,2006,Valcea,280649,Benzina,4250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBaxF.html
BMW Seria 3,1995,143,2009,Timis,248000,Diesel,4299,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HwxNQ.html
